Matches_name,Player_Name,Runs,Balls,Fours,Sixes,SR
Chitwan vs S Paschim - 15th Match,Dipendra Singh Airee,1,2,0,0,50
Chitwan vs S Paschim - 15th Match,Naresh Budayair,5,10,0,0,50
Chitwan vs S Paschim - 15th Match,Scott Kuggeleijn,16,10,3,0,160
Chitwan vs S Paschim - 15th Match,Naren Saud,10,8,0,1,125
Chitwan vs S Paschim - 15th Match,Abinash Bohara,0,0,0,0,-
Lumbini vs Chitwan - 16th Match,Ashutosh Ghiraiya,1,7,0,0,14.28
Lumbini vs Chitwan - 16th Match,Arjun Saud,15,12,1,1,125
Lumbini vs Chitwan - 16th Match,Unmukt Chand,0,2,0,0,0
Lumbini vs Chitwan - 16th Match,Rohit Paudel,80,57,6,5,140.35
Lumbini vs Chitwan - 16th Match,Tom Moores,10,5,0,1,200
Lumbini vs Chitwan - 16th Match,Saad Bin Zafar,52,35,4,1,148.57
Lumbini vs Chitwan - 16th Match,Sundeep Jora,4,3,1,0,133.33
Lumbini vs Chitwan - 16th Match,Bibek Yadav,,,,,
Lumbini vs Chitwan - 16th Match,Durgesh Gupta,,,,,
Lumbini vs Chitwan - 16th Match,Abhishesh Gautam,,,,,
Lumbini vs Chitwan - 16th Match,Ramon Simmonds,,,,,
Lumbini vs Chitwan - 16th Match,Santosh Karki,10,8,2,0,125
Lumbini vs Chitwan - 16th Match,Bipin Rawal,5,9,0,0,55.55
Lumbini vs Chitwan - 16th Match,Sohail Tanvir,1,2,0,0,50
Lumbini vs Chitwan - 16th Match,Luc Benkenstein,31,29,3,1,106.89
Lumbini vs Chitwan - 16th Match,Ravi Bopara,12,16,0,0,75
Lumbini vs Chitwan - 16th Match,Kushal Malla,20,17,1,1,117.64
Lumbini vs Chitwan - 16th Match,Jan Nicol Loftie-Eaton,6,7,1,0,85.71
Lumbini vs Chitwan - 16th Match,Amar Routela,6,6,1,0,100
Lumbini vs Chitwan - 16th Match,Rijan Dhakal,15,14,1,0,107.14
Lumbini vs Chitwan - 16th Match,Nar Sarki,22,12,1,1,183.33
Lumbini vs Chitwan - 16th Match,Ranjit Kumar,,,,,
Pokhara vs Karnali - 17th Match,Dinesh Kharel,26,19,4,1,136.84
Pokhara vs Karnali - 17th Match,Andries Gous,25,12,4,1,208.33
Pokhara vs Karnali - 17th Match,Kushal Bhurtel,10,11,0,1,90.9
Pokhara vs Karnali - 17th Match,Raymon Reifer,20,26,0,0,76.92
Pokhara vs Karnali - 17th Match,Matt Critchley,0,9,0,0,0
Pokhara vs Karnali - 17th Match,Dilip Nath,3,5,0,0,60
Pokhara vs Karnali - 17th Match,Michael Leask,2,2,0,0,100
Pokhara vs Karnali - 17th Match,Narayan Joshi,1,2,0,0,50
Pokhara vs Karnali - 17th Match,Bipin Khatri,10,9,0,1,111.11
