matches_name,Player_Name,Overs,Maidens,Runs_conceded,Wickets,Economy,Wides,No_balls
S Paschim vs Janakpur - 18th Match,Dipendra Singh Airee,3,0,27,2,9,1,0
S Paschim vs Janakpur - 18th Match,Ishan Pandey,2,0,11,2,5.5,3,0
S Paschim vs Janakpur - 18th Match,Naren Saud,2,0,5,1,2.5,0,0
S Paschim vs Janakpur - 18th Match,Scott Kuggeleijn,0.1,0,0,1,0,0,0
Kathmandu vs Lumbini - 19th Match,Ramon Simmonds,3.2,0,21,2,6.3,0,0
Kathmandu vs Lumbini - 19th Match,Abhishesh Gautam,4,0,16,2,4,0,0
Kathmandu vs Lumbini - 19th Match,Saad Bin Zafar,4,0,21,3,5.25,0,0
Kathmandu vs Lumbini - 19th Match,Surya Tamang,4,0,18,1,4.5,0,0
Kathmandu vs Lumbini - 19th Match,Rohit Paudel,2,0,17,0,8.5,0,0
Kathmandu vs Lumbini - 19th Match,Bibek Yadav,2,0,9,1,4.5,2,0
Kathmandu vs Lumbini - 19th Match,Shahab Alam,4,0,10,0,2.5,0,0
Kathmandu vs Lumbini - 19th Match,Dipesh Kandel,4,0,6,3,1.5,0,0
Kathmandu vs Lumbini - 19th Match,Gerhard Erasmus,4,0,19,2,4.75,1,0
Kathmandu vs Lumbini - 19th Match,Rashid Khan,2.2,0,22,1,9.42,1,0
Kathmandu vs Lumbini - 19th Match,Karan KC,4,0,16,4,4,0,0
Kathmandu vs Lumbini - 19th Match,Bhim Sharki,1,0,8,0,8,1,0
Biratnagar vs Pokhara - 20th Matcgh,Bipin Khatri,3,0,30,0,10,0,0
Biratnagar vs Pokhara - 20th Matcgh,Sagar Dhakal,4,0,15,2,3.75,0,0
Biratnagar vs Pokhara - 20th Matcgh,Raymon Reifer,4,0,33,2,8.25,2,0
Biratnagar vs Pokhara - 20th Matcgh,Kushal Bhurtel,4,0,32,1,8,1,0
Biratnagar vs Pokhara - 20th Matcgh,Dinesh Kharel,1,0,9,1,9,0,0
Biratnagar vs Pokhara - 20th Matcgh,Michael Leask,4,0,19,0,4.75,0,0
Biratnagar vs Pokhara - 20th Matcgh,Anil Kharel,3,0,29,0,9.66,1,0
Biratnagar vs Pokhara - 20th Matcgh,Chris Sole,4,0,30,2,7.5,0,0
Biratnagar vs Pokhara - 20th Matcgh,Sandeep Lamichhane,4,0,21,0,5.25,0,0
Biratnagar vs Pokhara - 20th Matcgh,Pratis GC,4,0,18,4,4.5,0,0
Biratnagar vs Pokhara - 20th Matcgh,Basir Ahamad,3,0,18,0,6,0,0
Biratnagar vs Pokhara - 20th Matcgh,Nicholas Kirton,2,0,17,0,8.5,0,0
Biratnagar vs Pokhara - 20th Matcgh,Raymon Reifer,1,0,4,0,4,1,0
Kathmandu vs Janakpur - 21st Match,Kishore Mahato,3,1,14,1,4.66,0,0
Kathmandu vs Janakpur - 21st Match,Lalit Rajbanshi,4,2,8,3,2,0,0
Kathmandu vs Janakpur - 21st Match,James Neesham,1,0,10,0,10,1,0
Kathmandu vs Janakpur - 21st Match,Mohammad Mohsin,4,0,20,2,5,0,0
Kathmandu vs Janakpur - 21st Match,Arniko Yadav,4,0,33,1,8.25,1,0
Kathmandu vs Janakpur - 21st Match,Sher Malla,3.3,0,11,3,3.14,0,0
Kathmandu vs Janakpur - 21st Match,Shahab Alam,4,0,22,1,5.5,0,0
Kathmandu vs Janakpur - 21st Match,Gerhard Erasmus,4,0,21,1,5.25,2,0
Kathmandu vs Janakpur - 21st Match,Karan KC,3,0,10,2,3.33,0,0
Kathmandu vs Janakpur - 21st Match,Dan Douthwaite,1.5,0,21,0,11.45,1,0
Kathmandu vs Janakpur - 21st Match,Dipesh Kandel,3,0,29,1,9.66,0,0
Karnali vs Lumbini - 22nd Match,Ramon Simmonds,4,0,40,1,10,1,0
Karnali vs Lumbini - 22nd Match,Abhishesh Gautam,4,0,11,0,2.75,0,0
Karnali vs Lumbini - 22nd Match,Bikash Aagri,2,0,14,3,7,0,0
Karnali vs Lumbini - 22nd Match,Saad Bin Zafar,4,0,29,1,7.25,1,0
Karnali vs Lumbini - 22nd Match,Tilak Bhandari,4,0,23,2,5.75,0,0
Karnali vs Lumbini - 22nd Match,Rohit Paudel,2,0,6,1,3,0,0
Karnali vs Lumbini - 22nd Match,Sompal Kami,4,1,24,1,6,0,0
Karnali vs Lumbini - 22nd Match,Nandan Yadav,4,0,26,1,6.5,0,0
Karnali vs Lumbini - 22nd Match,Bipin Sharma,4,1,25,1,6.25,0,0
Karnali vs Lumbini - 22nd Match,Zeeshan Maqsood,3,0,12,2,4,0,0
Karnali vs Lumbini - 22nd Match,William Bosisto,4,0,23,1,5.75,0,0
Karnali vs Lumbini - 22nd Match,Unish Thakuri,1,0,13,0,13,0,0
Biratnagar vs Chitwan - 23rd Match,Rijan Dhakal,4,0,40,2,10,2,0
Biratnagar vs Chitwan - 23rd Match,Sohail Tanvir,4,0,33,1,8.25,1,0
Biratnagar vs Chitwan - 23rd Match,Basil Hameed,4,0,15,1,3.75,0,0
Biratnagar vs Chitwan - 23rd Match,Kushal Malla,4,0,28,1,7,0,0
Biratnagar vs Chitwan - 23rd Match,Ranjit Kumar,3,0,30,0,10,1,0
Biratnagar vs Chitwan - 23rd Match,Amar Routela,1,0,24,0,24,0,3
Biratnagar vs Chitwan - 23rd Match,Chris Sole,4,0,22,1,5.5,3,0
Biratnagar vs Chitwan - 23rd Match,Pratis GC,2,0,19,0,9.5,1,0
Biratnagar vs Chitwan - 23rd Match,Basir Ahamad,4,1,19,1,4.75,0,0
Biratnagar vs Chitwan - 23rd Match,Sandeep Lamichhane,4,0,28,2,7,1,0
Biratnagar vs Chitwan - 23rd Match,Subash Bhandari,4,0,27,1,6.75,0,0
Biratnagar vs Chitwan - 23rd Match,Nicholas Kirton,1,0,6,0,6,0,0
Biratnagar vs Chitwan - 23rd Match,Lokesh Bam,1,0,8,1,8,0,0
Pokhara vs Kathmandu - 24th Match,Shahab Alam,2,0,12,0,6,1,0
Pokhara vs Kathmandu - 24th Match,Gerhard Erasmus,4,0,14,1,3.5,1,0
Pokhara vs Kathmandu - 24th Match,Karan KC,4,0,24,3,6,0,0
Pokhara vs Kathmandu - 24th Match,Rashid Khan,4,0,43,3,10.75,0,0
Pokhara vs Kathmandu - 24th Match,Nathan Sowter,2,0,20,0,10,1,0
Pokhara vs Kathmandu - 24th Match,Michael Levitt,3,0,13,1,4.33,0,0
Pokhara vs Kathmandu - 24th Match,Bhim Sharki,1,0,4,0,4,0,0
